_id,code,description,name,_ColourGroup,_GraphicalAppearance,_GarmentGroup,_PerceivedColourValue,_PerceivedColourMaster,_Department,_Index,_ProductType
2239,0399087015,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",S.Skinny L.W Epic,458,7,406,425,434,104,393,507
2251,0502522001,Short dress in cotton jersey with long sleeves.,Marc dress,450,0,401,422,430,30,386,525
2260,0399087021,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",S.Skinny L.W Epic,455,7,406,424,433,104,393,507
2267,0399087028,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",S.Skinny L.W Epic,450,7,406,422,430,104,393,507
2274,0399087029,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",S.Skinny L.W Epic,458,7,406,422,434,104,393,507
2290,0551614001,"Sports trousers in fast-drying mesh with an elasticated drawstring waist, side pockets, and legs with side panels and ribbed hems.",MILLA trousers (1),450,0,404,422,430,165,391,507
2313,0182909001,Opaque tights with an elasticated waist and soft fleece inside.,Fleece 1 p tights,450,0,403,422,430,32,387,504
2345,0578317003,"Suede slides with a bow at the front, leather insoles and rubber soles. Heel approx. 2 cm.",OL SABINA PQ sandal,450,0,408,422,430,146,390,541
2362,0399136027,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",Shaping Skinny R.W.,458,7,406,425,434,104,393,507
2386,0186262006,Plastic hair claws. Width 2.5 cm.,4p Claw,462,0,405,422,438,38,390,508
2408,0502836004,Large metal earrings with tear-shaped plastic beads and fabric tassels. Length 7 cm.,Flirty Avanie Earrings,450,0,405,422,430,68,390,536
2415,0399136061,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",Shaping Skinny R.W.,458,7,406,422,434,104,393,507
2425,0399136073,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",Shaping Skinny R.W,450,7,406,422,430,104,393,507
2427,0399201002,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,450,7,406,422,445,104,393,507
2430,0399201005,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,458,0,406,422,434,104,393,507
2433,0186264014,Hair elastics without metal clips.,10p Terry w.o. Clip,450,0,405,422,430,37,390,512
2446,0399201020,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,459,7,406,422,433,104,393,507
2452,0399201022,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,458,7,406,425,434,104,393,507
2458,0399201023,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,458,7,406,425,434,104,393,507
2469,0399201024,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,469,7,406,425,434,104,393,507
2476,0562211001,Belt in imitation leather with a metal buckle. Width 2.5 cm.,Ariel hip belt,450,0,405,422,430,49,390,517
2481,0399201025,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,458,7,406,422,434,104,393,507
2510,0399201042,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",Shaping Skinny H.W,459,7,406,422,433,104,393,507
2544,0399223001,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Curvy Jeggings HW Ankle,450,0,406,422,430,104,393,507
2559,0399223025,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Jeggings H.W,458,7,406,425,434,104,393,507
2566,0188183001,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",Spanx alot shape Swimsuit,450,0,409,422,430,51,387,522
2578,0399223029,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Curvy Jeggings HW Ankle,450,7,406,422,430,104,393,507
2582,0399223032,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Jeggings H.W,472,0,406,422,444,104,393,507
2584,0399223033,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Jeggings H.W,458,7,406,424,434,104,393,507
2604,0562245001,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,450,0,412,422,430,78,386,507
2608,0562245004,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,469,7,412,425,434,78,386,507
2612,0562245005,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny 5 pkt,459,7,412,422,433,78,386,507
2617,0562245006,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny 5 pkt,455,7,412,425,433,78,386,507
2629,0562245018,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,469,7,412,424,434,78,386,507
2665,0578476001,5-pocket trousers in superstretch twill with a regular waist and skinny legs.,Vichy 5pkt slim trouser,450,0,412,422,430,120,386,507
2667,0188183015,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",Spanx alot Swimsuit,478,0,409,422,445,51,387,522
2668,0578478001,High-waisted jersey leggings with concealed elastication at the waist.,Pep leggings,450,0,412,422,430,120,386,507
2683,0188183021,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",Spanx alot Swimsuit,476,0,409,426,437,51,387,522
2702,0568938001,Skirt in a stretch weave with a concealed zip at the back and decorative buttons at one side of the hem. Lined.,Tex,450,0,416,422,430,173,386,523
2706,0539296001,"Wide, slightly shorter jumper in a textured cotton knit with dropped shoulders and ribbing around the neckline, cuffs and hem.",Tatjana Structure,453,10,410,424,432,157,393,505
2710,0189616007,Leggings in extra sturdy jersey with an elasticated waist.,Heavy jsy long leg,450,11,401,422,430,53,393,504
2714,0189616008,Leggings in extra sturdy jersey with an elasticated waist.,Heavy jsy long leg,450,11,401,422,430,53,393,504
2728,0399223034,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Jeggings H.W,450,2,406,422,430,104,393,507
2736,0399256001,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",Skinny Ankle R.W Brooklyn,450,0,406,422,430,99,386,507
2740,0399256005,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",Skinny Ankle R.W Brooklyn,451,0,406,423,431,99,386,507
2749,0399256019,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",Skinny Ankle R.W Brooklyn,455,7,412,425,433,78,386,507
2777,0400246010,"Supersoft, low-rise jeggings in softly draping, ultra-light denim that moulds to the body for a feather-light feel. Fake front pockets, real back pockets and a zip fly and button.",Feather Jeggings L.W,458,7,406,422,434,104,393,507
2880,0479227020,"Wide top in soft, crêped viscose jersey with short cap sleeves and a gently rounded hem.",Stacy,466,0,401,424,435,30,386,524
2977,0520364003,"Maxi dress in an airy weave in a narrow cut at the top with gathers around the neckline. Opening at the back with a tie at the back of the neck, elasticated seam at the waist and a slit at the back. Lined.",Tuss OL,483,0,415,425,432,188,386,525
2997,0569244002,"Shoulder bag in grained imitation leather with a flap and magnetic fastener, and a narrow shoulder strap at the top. Lined. Size 4x16x23 cm.",Pluto Cross bag,450,0,405,422,430,130,390,537
3012,0401902008,"Thin running jacket in windproof, water-repellent functional fabric with reflective details. Hood with a small peak, zipped, diagonal chest pocket, and narrow elastication at the cuffs and hem. Slightly longer at the back. Mesh lining.",Go light jacket,450,2,404,422,430,42,391,542
3014,0189634001,Leggings in stretch jersey with an elasticated waist.,Long Leg Leggings,450,0,401,422,430,53,393,504
3020,0520427009,Jacquard-knit socks in a soft cotton blend containing glittery threads with scalloped tops.,X-mas Pattern 5p socks,461,2,403,422,437,44,387,503
3023,0552346001,"Slim-fit jeans in washed, superstretch, flexible denim for maximum mobility. Adjustable elasticated waist (in sizes 8-12Y), zip fly, fake front pockets, real back pockets and narrow hems.",SKINNY BASIC 89,469,0,406,425,434,117,394,507
3062,0552346013,"Slim-fit jeans in washed, superstretch, flexible denim for maximum mobility. Adjustable elasticated waist (in sizes 8-12Y), zip fly, fake front pockets, real back pockets and narrow hems.",SKINNY BASIC 89,458,7,406,425,434,117,394,507
3084,0190021003,"Fine-knit, shaftless socks.",Basic 5p Minishaftless,450,0,403,422,430,44,387,503
3198,0552471001,Longer shirt in a cotton weave with a collar and buttons down the front and at the cuffs. Yoke with a pleat at the back and a rounded hem.,KELLY S.8,456,0,418,423,434,178,393,529
3207,0552471004,Longer shirt in a cotton weave with a collar and buttons down the front and at the cuffs. Yoke with a pleat at the back and a rounded hem.,KELLY S.8,491,0,418,425,444,178,393,529
3221,0539723001,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",Jade Denim TRS,450,0,412,422,430,103,393,507
3228,0404864030,Joggers in soft sweatshirt fabric made from organic cotton with an elasticated waist and ribbed hems. Soft brushed inside.,Basic Cool Pants,459,2,401,422,433,33,388,507
3236,0552473001,"Straight-cut shirt in a soft viscose weave with a collar, buttons down the front, long sleeves with narrow, buttoned cuffs, and a rounded hem.",DENISE S.8,451,0,418,423,431,178,393,529
3237,0539723006,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",Jade Denim TRS,458,0,412,425,434,103,393,507
3241,0539723007,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",Jade Denim TRS,458,0,412,425,434,103,393,507
3292,0562245042,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,459,7,412,422,433,78,386,507
3296,0201219001,Fine-knit tights with an elasticated waist.,Heavy plain 2 p tights,450,0,403,422,430,32,387,502
3367,0481093016,Strapless playsuit in a viscose weave with elastication and a frilled edge at the top. Elasticated seam at the waist and short legs.,Doris jumpsuit,470,2,415,423,442,110,393,540
3370,0481110008,"Super push-up bra in microfibre and lace with underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Narrow, adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes.",Marigold SP Andes^,450,0,402,422,430,77,387,501
3371,0481110017,"Super push-up bra in microfibre and lace with underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Narrow, adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes.",Marigold SP Andes^,450,0,402,422,430,77,387,501
3383,0212629004,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined.",Alcazar strap dress,450,0,401,422,430,53,393,525
3397,0212629043,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined.",Alcazar strap dress,476,0,401,427,437,53,393,525
3401,0212629048,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined.",Alcazar strap dress,467,0,401,422,437,53,393,525
3411,0539724003,"Top in an airy, fine knit with short sleeves with decorative seams, and a rounded hem. Longer at the back.",Jade tee,472,0,410,425,444,54,393,506
3444,0539878001,"Short 5-pocket skirt in washed denim with hard-worn details, a button fly and raw-edge hem.",Skirt Mini,456,7,406,424,434,98,393,523
3446,0539878003,"Short 5-pocket skirt in washed denim with hard-worn details, a button fly and raw-edge hem.",Skirt Mini,456,7,406,424,434,98,393,523
3496,0552473036,"Straight-cut shirt in a soft viscose weave with a collar, buttons down the front, long sleeves with narrow, buttoned cuffs, and a rounded hem.",DENISE S.8,450,1,418,422,430,178,393,529
3527,0214844001,Metal hair grips. Length 5 cm.,30p pins,450,0,405,422,430,38,390,508
3538,0552538002,"Sports shorts in fast-drying functional fabric with ventilating mesh sections at the crotch, back and sides. Elastication and a concealed drawstring at the waist and zipped side pockets.",Hunter shorts,450,0,404,422,430,41,391,528
3586,0481781004,"Round sunglasses with metal and plastic frames and tinted, UV-protective lenses.",Malin sunglasses,450,0,405,422,430,62,390,533
3747,0569374001,"Sports bra in fast-drying functional fabric with padded cups and wide, lightly padded, adjustable shoulder straps that cross at the back. Extra elastic straps at the back for maximum support and an elastic hem with hook-and-eye fasteners. Extra firm support.",CARINA molded high support bra,450,0,404,422,430,164,391,501
3823,0408569009,Socks in a fine knit containing glittery threads.,Lurex 2p Sock,450,16,403,422,430,45,387,503
3839,0408571002,Knee socks in a soft knit with elastication at the top. One pair in a textured knit and one pair in a smooth knit.,Tua 2p kneehigh,455,10,403,425,433,45,387,503
3865,0408647008,Fine-knit socks in soft chenille yarn with elasticated tops.,Chenille 2p Lounge sock,461,2,403,422,437,44,387,503
3891,0408649006,Fine-knit socks in soft chenille with elasticated tops.,Fun Chenille 2p Lounge sock,451,2,403,423,431,44,387,503
3908,0552667007,"Short-sleeved sports top in printed, fast-drying functional fabric.",PRICED ITEM tee,459,18,404,422,433,41,391,524
3913,0552667008,"Short-sleeved sports top in printed, fast-drying functional fabric.",PRICED ITEM tee,450,18,404,422,430,41,391,524
3916,0408664007,Socks in a soft jacquard knit containing some wool.,X-mas 2p Heavy Socks,461,2,403,422,437,44,387,503
3933,0504113012,"Short dress in a viscose weave with a V-neck, narrow, adjustable shoulder straps and smocked back. Seam at the waist and a gently bell-shaped skirt. Unlined.",Zoo,451,2,415,423,431,110,393,525
3935,0408875001,"Cropped top in soft, ribbed jersey with a V-neck, straight cut at the back and narrow shoulder straps.",Goldie tank top,450,0,401,422,430,53,393,500
3969,0504113026,"Short dress in a viscose weave with a V-neck, narrow, adjustable shoulder straps and smocked back. Seam at the waist and a gently bell-shaped skirt. Unlined.",Zoo,450,2,415,422,430,110,393,525
4052,0569562005,"Short satin dressing gown with a lace yoke and short, wide sleeves with lace trims. Concealed ties and a detachable tie belt at the waist.",Cecilia Kimono (W),450,0,402,422,430,59,387,545
4072,0522374001,"Jumper in a soft, fine knit with dropped shoulders, long sleeves and gently rounded hem.",Candice,459,0,410,422,430,186,386,505
4139,0562245046,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,450,0,412,422,430,78,386,507
4156,0411413001,Cropped T-shirt in jersey with a chest pocket and short sleeves with sewn-in turn-ups.,Brooke raw cut ss,450,0,401,422,430,53,393,524
4162,0411413002,Cropped T-shirt in jersey with a chest pocket and short sleeves with sewn-in turn-ups.,Brooke raw cut ss,451,0,401,423,431,53,393,524
4177,0219075023,"Cargo trousers in washed Oxford cotton with side pockets, back pockets and leg pockets with a flap and press-stud, seams at the knees and drawstring hems.",Billy cargo pants,472,0,412,422,444,64,389,507
4186,0562245058,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,450,0,412,422,430,78,386,507
4190,0220094001,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.,Aguilera maxidress,450,0,401,422,430,30,386,525
4219,0504155001,"Jumper in a cable-knit cotton blend with ribbing around the neckline, cuffs and hem.",Kirsten,457,3,410,424,433,186,386,505
4250,0504155018,"Jumper in a cable-knit cotton blend with ribbing around the neckline, cuffs and hem.",Kirsten,458,0,410,422,434,186,386,505
4263,0569933002,"Short coat in woven fabric with a zip down the front, patch front pockets, padded shoulders and a pleat at the back. Lined.",Gwyneth throw on,450,0,407,422,430,138,386,542
4325,0562245064,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,456,7,412,424,434,78,386,507
4334,0224606019,Narrow belt in grained imitation leather with a metal buckle. Width 2 cm.,Flora hip belt (1),450,0,405,422,430,49,390,517
4368,0562245094,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",Luna skinny RW,469,7,412,423,434,78,386,507
4441,0228257001,Tights with an elasticated waist. 20 denier.,20 den 2p Tights,450,0,403,422,430,32,387,502
4464,0228257004,Tights with an elasticated waist. 20 denier.,20 den 2p Tights,468,0,403,425,441,32,387,502
4484,0233091003,Fine-knit gloves.,Magic Gloves 2pack,450,0,405,422,430,65,393,535
4585,0234432001,Push-up tights that lift and shape with an elasticated waist. 30 denier.,Push Up 30 den 1p Tights,450,0,403,422,430,32,387,502
4637,0237222001,"Fitted Henley top in soft cotton jersey with a low-cut neckline, button placket and long sleeves.",Helsinki,450,0,401,422,430,30,386,506
4644,0413707019,Leggings in stretch jersey with an elasticated waist.,Fancy Leggings,450,0,412,422,430,70,393,504
4647,0504667003,"Parka in a sturdy weave with a fleece-lined drawstring hood with a faux fur trim, two-way zip down the front and double wind flap with a hook and loop fastening. Concealed zipped pocket under the wind flaps, flap chest and front pockets and one sleeve pocket, all with a hook and loop fastening, fleece-lined handwarmer pockets and one inner pocket. Concealed drawstring at the waist and inner ribbing at the cuffs. Polyester filling. Quilted lining.",Reid (1),484,0,407,425,441,191,389,514
4675,0553069005,"Round handbag in braided paper straw with imitation leather details. Two handles and a zip at the top, a narrow shoulder strap and an inner compartment. Lined. Width 6 cm, diameter 25 cm.",Taylor Straw,450,0,405,422,430,71,390,537
4717,0237347036,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem.",Theron,466,3,401,424,435,30,386,514
4722,0579010003,"Long-sleeved top in soft organic cotton sweatshirt fabric with a press-stud on one shoulder (no press-stud in sizes 1-4Y). Ribbing around the neckline, cuffs and hem. Soft brushed inside.",SWEATSHIRT AOP/RAGLAN,459,2,401,422,433,33,388,505
4762,0237347045,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem.",Theron (1),451,0,401,423,431,30,386,514
4890,0569996001,Round-necked T-shirt in organic cotton jersey.,R-NECK SS BASIC FIT,450,0,401,422,430,35,389,524
4898,0569996004,Round-necked T-shirt in organic cotton jersey.,R-NECK SS BASIC FIT,451,0,401,423,431,35,389,524
4905,0569996006,Round-necked T-shirt in organic cotton jersey.,R-NECK SS BASIC FIT,458,0,401,422,434,153,389,524
4941,0562299002,Hat in braided paper straw. Width of brim approx. 10 cm.,Bloom straw hat,450,0,405,422,430,63,390,554
